,price,variety,winery,province country
19354,65.0,Syrah,Cayuse,"Oregon, US"
113929,80.0,Syrah,Charles Smith,"Washington, US"
98647,100.0,Pinot Noir,Williams Selyem,"California, US"
58352,150.0,Bordeaux-style Red Blend,Château Léoville Barton,"Bordeaux, France"
28954,195.0,Red Blend,Giovanni Chiappini,"Tuscany, Italy"
89399,200.0,Cabernet Sauvignon,Cardinale,"California, US"
111087,210.0,Prugnolo Gentile,Avignonesi,"Tuscany, Italy"
92916,215.0,Cabernet Sauvignon,Shafer,"California, US"
114272,245.0,Cabernet Blend,Sloan,"California, US"
89728,250.0,Champagne Blend,Louis Roederer,"Champagne, France"
111754,270.0,Sangiovese Grosso,Casanova di Neri,"Tuscany, Italy"
19355,300.0,Muscat,Chambers Rosewood Vineyards,"Victoria, Australia"
111756,359.0,Bordeaux-style Red Blend,Château Léoville Las Cases,"Bordeaux, France"
42197,450.0,Portuguese Red,Casa Ferreirinha,"Douro, Portugal"
118058,450.0,Bordeaux-style Red Blend,Verité,"California, US"
24151,460.0,Merlot,Tenuta dell'Ornellaia,"Tuscany, Italy"
45781,550.0,Sangiovese,Biondi Santi,"Tuscany, Italy"
89729,617.0,Chardonnay,Salon,"Champagne, France"
114972,650.0,Port,Quinta do Noval,"Port, Portugal"
2145,848.0,Bordeaux-style White Blend,Château Haut-Brion,"Bordeaux, France"
26296,1400.0,Chardonnay,Krug,"Champagne, France"
111753,1500.0,Bordeaux-style Red Blend,Château Lafite Rothschild,"Bordeaux, France"
111755,1500.0,Bordeaux-style Red Blend,Château Cheval Blanc,"Bordeaux, France"
