,description,price
13831,This fresh Rosso di Montalcino is redolent of pressed violets and rose petals and has more of a floral characteristic than it does a fruity one. The wine is thin but firm in the mouth with a lean but crisp aftertaste.,
14162,La Gerla is one of the finest producers in Montalcino and the estate's less formal Rosso delivers spice and sophistication with loads of oak-related aromas that enhance the wine's natural fruit and consistency. You'll taste the oak spice in the mouth as well so pair this wine with grilled meat or barbecue.,17.0
14165,"Black mineral aromas of charcoal and campfire open the nose and are followed by ripe fruit aromas of strawberry, raspberry and cherry. The wine delivers thick, smooth consistency and a blast of cherry and spice on the close.",23.0
14173,Here's a nice Rosso di Montalcino with brambly notes of forest berry and green leaf that follow berry and cherry fruit flavors. The wine boasts a firm tannic touch and good levels of acidity that make it perfect for pasta with wild boar or meat-filled ravioli. It's a bit thorny and sharp on the close.,28.0
14181,"This fresh and buoyant Rosso di Montalcino offers aromas of cherry, red currants, almond marzipan and subtle shadings of exotic spice. The mouthfeel is simple and genuine with a fine, compact feel and soft cherry nuances.",28.0
14436,"Ferrero has the heft and consistency to contend with other top Brunellos and the velvety-soft quality of its mouthfeel is extraordinary. The nose was less convincing, however, with heavy tones of old wood, cedar and liquid smoke.",45.0
14443,"Il Palazzone is a dynamic American-owned property in Montalcino that usually delivers a luscious and velvety style of Brunello. This wine delivers those attractive qualities in the mouth but the aromas make the wine seem older than it is. You'll get tones of ripe berries, old leather and licorice. Drink now.",99.0
14452,"Brunello Belpoggio offers intense layers of roof slate, ripe prunes, black cherry, cedar wood and even a touch of black truffle. The mouthfeel is tart and chewy with firm tannins and some blackberry bitterness on the close. Pair this wine with stewed beef or game.",
14634,"Genuine, clean and simple, this bright Rosso di Montalcino offers aromas of cedar wood and cherry cola over loads of wild berry fruit. There's a raw, simple quality to the wine and fresh fruit abounds.",15.0
14893,"Here's a fresh, berry-driven Rosso di Montalcino with an emphasis on ease and drinkability. This is the kind of wine you can pair with oven-roasted pasta or pork dishes because it offers bright acidity and lean structure.",
14904,"Cherry and vinous notes of grapes and wild berries flood the nose, opening slowly to subtle aromas of spice, smoke and mineral. The wine is dense and chewy in consistency with a youthful and bright personality.",
21383,"Cerretalto delivers aromas of natural complexity and oak-driven tones of cinnamon, clove, chocolate and exotic spice. The fruit is dark, dense and ripe. There's extra roundness and density in the mouth that holds together the wine's firm tannins and its crisp, acidic component. Hold 10–20 more years.",215.0
21384,"This beautiful riserva shows enormous thickness and blackness, like midnight of a new moon. The wine delivers impenetrable density, extraction, black fruit, spice, berry preserves, licorice, asphalt, ground black pepper, cherry liqueur and crème de cassis. There are seemingly no limits to the intensity and complexity here. The mouthfeel is dense, plush, firmly structured and very long. Keep this Brunello safely in your cellar 20 years or more.",275.0
21385,"Gorgeous, opulent and rich, Tenuta Nuova is an unforgettable wine. It has body, power, persistence and loads of plush personality. It is layered with chocolate, cherry, blackberry, spice, leather and savory notes. There's a deep mineral layer as well. Compelling and lovely.",79.0
21386,"Luce della Vite opens with an opulent, generous style and is packed with black cherry, black currant, cola, leather and pipe tobacco. This is a plush, rich and deeply textured wine, with plenty of intensity and staying power. It shows dense tannins with a touch of youthful astringency. Age 10 more years.",93.0
21388,"Capanna's offering in 2007 is extremely bold, dark and opulent. Loads of aromatic momentum in the form of blackberry, cherry liqueur, spice, leather, tobacco, rum cake, cinnamon, vanilla bean and bitter chocolate characterize the bouquet. The wine also shows a soft, ripe, generous texture, yet remains well-contained and balanced.",55.0
21389,"This vineyard-designated riserva delivers perfumed notes of red rose, pressed flower and a bright, berry-driven bouquet. In the mouth, this is a plump, bold wine with thick concentration and loads of dark fruit such as blackberry and plum. The tannic firmness suggests at least 10 years of cellar aging. Overall, it is beautiful, elegant and bold.",95.0
21420,"This riserva is simply gorgeous, with loads of fresh fruit, mineral, spice, leather, tobacco and long aging potential. The freshness and structure is definitely present, while the mouthfeel is luscious and opulent with vanilla, espresso and dried herb or menthol overtones.",80.0
21422,"This riserva shows gorgeous intensity and a beautiful, dense texture. There's just enough softness to cushion the naturally high acidity of 2006. It's firm, silky, rich, powerful and super long. In fact, the extraordinary length is what sets this wine apart. Age 10–15 years.",75.0
21424,"This dark Brunello opens with thick concentration and balsam notes of cola, humus and eucalyptus. Despite the thick extraction, the berry aromas are delicate, with lingering wild raspberry and forest fruit. The wine shows a nice juxtaposition between its bold, masculine side and an elegant feminine one. The mouthfeel is bold, plush and powerful.",75.0
21427,"Artist Sandro Chia and his team have delivered a lush, modern, approachable and opulent riserva with aromas of spice, ripe fruit, chocolate fudge and red cherry. This is a round and supple wine, with a soft, generous mouthfeel backed by firm structure and bright acidity.",150.0
21429,"From Tuscany's celebrated Frescobaldi wine family, Brunello Castelgiocondo opens with dark, inky concentration and bold aromas of pressed rose, black cherry, exotic spice, leather and unsweetened chocolate. It is beautifully put together, with ample intensity, balance, complexity and silkiness on the finish.",75.0
21430,"La Rasina has hit a winning formula with Il Divasco. This wine is bold and opulent, with lavish layers of bright fruit, spice, cola and leather. It is one of those Brunellos that seems to have melted chocolate fudge at its core with a round, soft mouthfeel. Impressive intensity and complexity are both there.",75.0
