,price,variety,winery,province country
10541,27.0,Red Blend,Isole e Olena,"Tuscany, Italy"
54253,27.0,Grenache,Donkey & Goat,"California, US"
102489,27.0,Chardonnay,The Eyrie Vineyards,"Oregon, US"
65333,28.0,Chardonnay,Fess Parker,"California, US"
45992,28.0,Bordeaux-style White Blend,Château Filhot,"Bordeaux, France"
54311,28.0,Riesling,Eichinger,"Kamptal, Austria"
9901,29.0,Riesling,Domaines Schlumberger,"Alsace, France"
81970,30.0,Chardonnay,Efeste,"Washington, US"
109845,30.0,Pinot Noir,Sineann,"Oregon, US"
119658,30.0,Pedro Ximénez,Alvear,"Andalucia, Spain"
